Data,Localidade,Precipitacao_mm,Temp_Maxima_C,Temp_Minima_C
2026-07-31,Beira,2.3220496,23.01181,21.994232
2026-08-01,Beira,1.4750884,22.517853,20.822113
2026-08-02,Beira,2.2478225,22.673492,21.02597
2026-07-31,Dondo,1.9356852,24.871918,17.901154
2026-08-01,Dondo,1.6852869,24.307129,18.032013
2026-08-02,Dondo,0.05071482,24.319855,15.981354
2026-07-31,Mafambisse,1.9356852,24.871918,17.901154
2026-08-01,Mafambisse,1.6852869,24.307129,18.032013
2026-08-02,Mafambisse,0.05071482,24.319855,15.981354
2026-07-31,Nhamatanda,1.8763537,25.221222,14.834412
2026-08-01,Nhamatanda,0.0,24.426544,14.684509
2026-08-02,Nhamatanda,0.0,24.610413,15.788635
2026-07-31,Caia,0.025435738,26.804413,15.676056
2026-08-01,Caia,0.03402759,25.100037,15.256256
2026-08-02,Caia,0.0,26.065369,13.276886
2026-07-31,Chibabava,0.11260327,25.549957,16.34195
2026-08-01,Chibabava,0.0,24.325073,13.114044
2026-08-02,Chibabava,0.0,24.508179,13.551086
2026-07-31,Maringue,0.012531793,26.394745,15.264618
2026-08-01,Maringue,4.4590724e-05,25.062439,15.799683
2026-08-02,Maringue,0.0,25.18518,15.342316
2026-07-31,Gorongosa,0.0,26.65625,13.328186
2026-08-01,Gorongosa,0.0,25.340668,14.600739
2026-08-02,Gorongosa,0.0,25.628815,11.138184
2026-07-31,Machanga,0.3764214,23.400146,21.598022
2026-08-01,Machanga,0.85934854,22.784698,19.703064
2026-08-02,Machanga,1.1437818,22.803833,20.65857
2026-07-31,Inhaminga,1.3276412,26.130432,15.7126465
2026-08-01,Inhaminga,0.0,25.916962,15.668518
2026-08-02,Inhaminga,0.0,25.28482,13.837036
2026-07-31,Buzi,0.3764214,23.400146,21.598022
2026-08-01,Buzi,0.85934854,22.784698,19.703064
2026-08-02,Buzi,1.1437818,22.803833,20.65857
2026-07-31,Cheringoma,1.0865352,26.111847,15.248932
2026-08-01,Cheringoma,0.0,25.3862,16.003479
2026-08-02,Cheringoma,0.0024635938,24.271027,13.186218
2026-07-31,Marromeu,0.34896636,26.318726,15.082214
2026-08-01,Marromeu,0.0,26.076782,15.051575
2026-08-02,Marromeu,0.0,25.769287,12.613251
2026-07-31,Muanza,1.9747145,24.5831,14.469055
2026-08-01,Muanza,0.0,24.202362,15.063873
2026-08-02,Muanza,0.0,23.808563,13.33078
2026-07-31,Chemba,0.038417697,25.714844,14.907135
2026-08-01,Chemba,0.036780905,24.354767,15.5503845
2026-08-02,Chemba,0.0,24.55185,14.660858
