Data,Localidade,Precipitacao_mm,Temp_Maxima_C,Temp_Minima_C
2026-07-31,Chimoio,0.0,26.7612,14.659668
2026-08-01,Chimoio,0.0,24.960327,13.598419
2026-08-02,Chimoio,0.0,25.820831,13.6467285
2026-07-31,Manica,0.0,25.720123,14.394196
2026-08-01,Manica,0.0,23.977509,14.008423
2026-08-02,Manica,0.0,24.777924,14.345886
2026-07-31,Macossa,0.24619049,26.968323,15.084808
2026-08-01,Macossa,0.0,25.777466,13.441956
2026-08-02,Macossa,0.0,26.035126,13.779907
2026-07-31,Guro,0.0,25.103973,12.971222
2026-08-01,Guro,0.0,22.884064,12.950348
2026-08-02,Guro,0.0,23.735687,11.428925
2026-07-31,Tambara,0.0,26.482544,15.056244
2026-08-01,Tambara,0.0,24.709015,15.063568
2026-08-02,Tambara,0.0,25.204926,14.710785
2026-07-31,Gondola,0.0,26.90982,14.272461
2026-08-01,Gondola,0.0,25.238739,13.578186
2026-08-02,Gondola,0.0,25.892792,13.022125
2026-07-31,Chimoio B4,0.0,26.7612,14.659668
2026-08-01,Chimoio B4,0.0,24.960327,13.598419
2026-08-02,Chimoio B4,0.0,25.820831,13.6467285
2026-07-31,Sussundenga Inam,0.0,25.247284,12.930084
2026-08-01,Sussundenga Inam,0.0,23.646027,13.27887
2026-08-02,Sussundenga Inam,0.0,24.46988,12.806183
2026-07-31,Dombe,0.17603388,25.68805,14.879639
2026-08-01,Dombe,0.0,24.391785,13.086548
2026-08-02,Dombe,0.0,24.805634,14.064087
2026-07-31,Chicamba,0.0,22.897064,13.406342
2026-08-01,Chicamba,0.0,21.111786,12.920074
2026-08-02,Chicamba,0.0,22.315247,13.217743
2026-07-31,Chitobe,0.033083837,25.184814,14.984161
2026-08-01,Chitobe,0.0,24.25882,11.921783
2026-08-02,Chitobe,0.0,23.96344,10.655518
2026-07-31,IAM Sussunenga,0.0,25.247284,12.930084
2026-08-01,IAM Sussunenga,0.0,23.646027,13.27887
2026-08-02,IAM Sussunenga,0.0,24.46988,12.806183
2026-07-31,Messambuzi,0.0,25.682007,13.129028
2026-08-01,Messambuzi,0.0,24.20578,13.673126
2026-08-02,Messambuzi,0.0,25.280823,13.151703
