Data,Localidade,Precipitacao_mm,Temp_Maxima_C,Temp_Minima_C
2026-07-31,Nampula,0.0,26.841187,16.303284
2026-08-01,Nampula,0.0,25.05484,16.181763
2026-08-02,Nampula,0.0,25.211548,16.039276
2026-07-31,Angoche,0.00816484,24.354492,23.430298
2026-08-01,Angoche,6.9279866,23.614563,22.696198
2026-08-02,Angoche,0.02713606,24.465088,22.751556
2026-07-31,Lumbo,0.22378248,24.719849,23.545013
2026-08-01,Lumbo,9.954742,23.910706,22.810913
2026-08-02,Lumbo,0.0,24.689117,23.366669
2026-07-31,Entre-Rios,0.0,22.963867,13.1033325
2026-08-01,Entre-Rios,0.019739537,19.900452,13.050201
2026-08-02,Entre-Rios,1.1324969e-07,21.972595,12.706696
2026-07-31,Nacala,0.0,24.875824,23.684357
2026-08-01,Nacala,8.476351,23.74936,22.342194
2026-08-02,Nacala,0.022569515,24.718872,23.336456
2026-07-31,Lalaua,0.0,23.676575,13.928162
2026-08-01,Lalaua,0.0,22.815918,13.968567
2026-08-02,Lalaua,0.0,22.85672,13.610992
2026-07-31,Namialo,0.0,27.963043,19.67392
2026-08-01,Namialo,0.42520776,25.624207,19.268494
2026-08-02,Namialo,0.119774476,26.917145,19.778564
2026-07-31,Malema,0.0,25.075775,13.683533
2026-08-01,Malema,0.0,22.91919,13.739471
2026-08-02,Malema,0.0,24.054169,13.777374
2026-07-31,Moussoril,0.12213008,24.741943,23.577179
2026-08-01,Moussoril,10.652026,23.88153,22.759094
2026-08-02,Moussoril,0.07543268,24.681366,23.422974
2026-07-31,Meconta,0.0,27.791748,17.05185
2026-08-01,Meconta,0.01680294,25.54599,17.73941
2026-08-02,Meconta,0.19556886,26.621216,18.312347
2026-07-31,Ribaué,0.0,24.995636,14.260925
2026-08-01,Ribaué,0.0018241305,23.837921,13.585449
2026-08-02,Ribaué,0.0,24.277313,14.033234
2026-07-31,Nacarroa,0.0,28.478485,18.01712
2026-08-01,Nacarroa,0.0015213646,26.394012,18.576996
2026-08-02,Nacarroa,0.0,27.666443,18.789185
2026-07-31,Muecate,0.0,27.974365,16.333221
2026-08-01,Muecate,0.0025483337,25.927216,16.518616
2026-08-02,Muecate,0.0,26.530579,17.077393
2026-07-31,Memba,0.0,25.06186,22.879791
2026-08-01,Memba,5.541187,23.750427,22.570465
2026-08-02,Memba,0.3728336,24.772522,23.218079
2026-07-31,Nampula-Agricola,0.0,27.086212,16.4281
2026-08-01,Nampula-Agricola,0.0,25.17923,16.301147
2026-08-02,Nampula-Agricola,0.0,25.451935,16.265503
2026-07-31,Ribaue-Agricola,0.0,24.995636,14.260925
2026-08-01,Ribaue-Agricola,0.0018241305,23.837921,13.585449
2026-08-02,Ribaue-Agricola,0.0,24.277313,14.033234
