Data,Localidade,Precipitacao_mm,Temp_Maxima_C,Temp_Minima_C
2026-07-31,Tete,0.0,25.976166,13.121796
2026-08-01,Tete,0.0,23.826294,14.410309
2026-08-02,Tete,0.0,24.71106,14.221954
2026-07-31,Zumbo,0.0,22.122742,12.32251
2026-08-01,Zumbo,0.0,19.981903,11.924255
2026-08-02,Zumbo,0.0,19.998688,10.349762
2026-07-31,Estima,0.0,26.90213,13.418549
2026-08-01,Estima,0.0,24.732513,14.319244
2026-08-02,Estima,0.0,25.46408,14.715973
2026-07-31,Songo,0.00040996846,20.693115,12.419434
2026-08-01,Songo,0.0,17.923279,11.4496155
2026-08-02,Songo,0.016820211,19.715942,10.998871
2026-07-31,Magoe,0.0,26.485413,14.432037
2026-08-01,Magoe,0.0,24.327728,13.736572
2026-08-02,Magoe,0.0,24.52356,12.220947
2026-07-31,Fingoe,0.0,27.653168,12.312042
2026-08-01,Fingoe,0.0,25.492645,13.165436
2026-08-02,Fingoe,0.0,25.902863,13.58786
2026-07-31,Changara,0.0,26.665009,14.305267
2026-08-01,Changara,0.0,24.53955,14.116394
2026-08-02,Changara,0.0,25.212036,12.68573
2026-07-31,Zobwe,0.00040996846,20.693115,12.419434
2026-08-01,Zobwe,0.0,17.923279,11.4496155
2026-08-02,Zobwe,0.016820211,19.715942,10.998871
